formulation,batch,time,percent_released
reference,R1,5,14.2
reference,R1,10,29.1
reference,R1,15,47.3
reference,R1,20,61.4
reference,R1,30,77.6
reference,R1,45,89.5
reference,R2,5,15.8
reference,R2,10,31.2
reference,R2,15,48.9
reference,R2,20,62.7
reference,R2,30,78.4
reference,R2,45,90.6
reference,R3,5,15.0
reference,R3,10,29.7
reference,R3,15,47.8
reference,R3,20,62.0
reference,R3,30,78.0
reference,R3,45,90.0
test,T1,5,11.5
test,T1,10,23.4
test,T1,15,39.2
test,T1,20,54.3
test,T1,30,69.7
test,T1,45,81.8
test,T2,5,12.8
test,T2,10,24.9
test,T2,15,40.8
test,T2,20,55.6
test,T2,30,70.5
test,T2,45,82.4
test,T3,5,11.9
test,T3,10,23.8
test,T3,15,40.0
test,T3,20,55.0
test,T3,30,70.0
test,T3,45,82.0
