formulation,batch,time,percent_released
reference,R1,5,19.0
reference,R1,10,37.0
reference,R1,15,54.0
reference,R1,20,67.0
reference,R1,30,81.0
reference,R1,45,92.0
reference,R2,5,21.0
reference,R2,10,39.0
reference,R2,15,56.0
reference,R2,20,69.0
reference,R2,30,83.0
reference,R2,45,94.0
reference,R3,5,20.0
reference,R3,10,38.0
reference,R3,15,55.0
reference,R3,20,68.0
reference,R3,30,82.0
reference,R3,45,93.0
test,T1,5,20.0
test,T1,10,36.0
test,T1,15,53.0
test,T1,20,68.0
test,T1,30,80.0
test,T1,45,91.0
test,T2,5,22.0
test,T2,10,38.0
test,T2,15,55.0
test,T2,20,70.0
test,T2,30,82.0
test,T2,45,93.0
test,T3,5,21.0
test,T3,10,37.0
test,T3,15,54.0
test,T3,20,69.0
test,T3,30,81.0
test,T3,45,92.0
